Agency,SiteNumber,Date,Groundwater_in_FeetBelowLandSurface,StationName,Latitude,Longitude,CoordinateAccuracy,CoordinateDatum,CountyCode,LandSurface_or_GageAltitude
USGS,3.63442E+14,4/27/2022,5.01,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,4/28/2022,4.94,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,4/29/2022,4.91,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,4/30/2022,4.97,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,5/1/2022,5.2,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,5/2/2022,5.26,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,5/3/2022,4.96,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,5/4/2022,4.98,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,5/5/2022,4.68,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,5/6/2022,4.38,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,5/7/2022,4.4,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,5/8/2022,4.39,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,5/9/2022,4.49,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,5/10/2022,4.71,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,5/11/2022,4.83,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
